Name,Created,Link,Tags,Takeaway,URL
7 Great Modern Fantasy Artists. A list of some of the best modern… | by Kyril “MrNiceGuy” Kotashev | Ad Fantastika | Medium,"September 24, 2021 3:30 PM",,,,
Tour of the Sacred Library – Ryan Moulton's Articles,"September 24, 2021 3:30 PM",,,,
My favorite nonexistent painter,"September 24, 2021 3:29 PM",,,,
Tolkien: Forest & City,"September 25, 2021 4:12 PM",,,,https://scholar.valpo.edu/cgi/viewcontent.cgi?referer=https://www.google.com/&httpsredir=1&article=1011&context=journaloftolkienresearch
Tolkien's myths are political fantasy,"September 25, 2021 4:13 PM",,,,https://www.theguardian.com/books/booksblog/2014/dec/12/tolkiens-myths-are-a-political-fantasy
Sandbox prep,"September 25, 2021 4:14 PM",,,,https://twitter.com/EricVulgaris/status/1102935540003823616
13th Sage: How to Create Meaningful Icons For a Setting,"September 25, 2021 3:32 PM",http://site.pelgranepress.com/index.php/13th-sage-how-to-create-meaningful-icons-for-a-setting/,,"13th Sage: How to Create Meaningful Icons For a Setting Greyhawk. Golarion. Eberron. Mystara. The names of these settings ring out in the history of roleplaying games. It's no surprise that many fans want to run campaigns in them, or others that are equally beloved.",
13th Age - When Icons Interfere,"September 25, 2021 3:33 PM",http://site.pelgranepress.com/index.php/13th-age-when-icons-interfere/,,"13th Age - When Icons Interfere Rob Heinsoo mentioned in an interview that, should an Icon relationship roll fail in , he's introduced an optional rule where another Icon somehow interferes with the roll by using a d12.",
What I Learned About 13th Age by Playing With Rob Heinsoo,"September 25, 2021 3:34 PM",http://site.pelgranepress.com/index.php/what-i-learned-about-13th-age-by-playing-with-rob-heinsoo/,,"What I Learned About 13th Age by Playing With Rob Heinsoo Although I've been helping publicize almost since the first playtest was announced, it wasn't until PAX that I got to experience the game as a player rather than a GM.",
Gender-flipped Icons in 13th Age,"September 25, 2021 4:09 PM",https://site.pelgranepress.com/index.php/gender-flipped-icons-in-13th-age/,"13a, Icons","Gender-flipped Icons in 13th Age by ASH LAW When I first heard the idea of gender-flipped icons I really liked the concept, so when I got the chance to turn the idea into words I was surprised at how hard it actually is.",
13th Age Pregens and Resources | Burn After Running: RPG One-Shots,"October 1, 2021 9:10 AM",,13a,,https://burnafterrunningrpg.com/2018/07/30/13th-age-pregens-and-resources/
13th Age in Greyhawk.pdf - Google Drive,"October 1, 2021 9:10 AM",,13a,,https://drive.google.com/file/d/10fDvXWQDSA3U22XOe-YTpe01Md0OD88f/view
Images of Unremitting Horrors | Pelgrane Press Ltd,"October 1, 2021 3:54 PM",,,,https://site.pelgranepress.com/index.php/images-of-unremitting-horrors/#comments
