Name,Tags
Death & Dying: 13a,Rule Recaps
Grabbed: 13G,Rule Recaps
Invisibility: 13a,Rule Recaps
No Recoveries: 13a,Rule Recaps
Unarmed Attacks: 13a,Rule Recaps
Confused,Rule Recaps
Dazed,"Condition, Rule Recaps"
Fear,"Condition, Rule Recaps"
Grabbed,"Condition, Rule Recaps"
Hampered,"Condition, Rule Recaps"
Helpless,"Condition, Rule Recaps"
Stuck,"Condition, Rule Recaps"
Stunned,"Condition, Rule Recaps"
Vulnerable,"Condition, Rule Recaps"
Weakened,"Condition, Rule Recaps"
Burrow,Rule Recaps
Poison,Energy type
Thunder,Energy type
Psychic,Energy type
Negative energy (necrotic),Energy type
Energy,Energy type
Holy,Energy type
Acid,Energy type
Cold,Energy type
Lightning,Energy type
FIre,Energy type
Force,Energy type
Random Demon Abilities (d6 or d8),Charts
"About Icons, from 13a Quickstart",Icons
Icon Relationships Master Chart,"Charts, Icons"
5s and 6s,Icons
Engine of the Ages: Anchor Allotments,Charts
Character Building,"Charts, Class, Kin"
Item Chakras & Default Bonuses,Charts
Potions/Runes/Oils,Charts
Gold & Treasure,Charts
Skill Checks/Damage,Charts
13a Building Battles Chart,Charts
Demon Abilities,"2e playtest, Charts"
